Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;10;Carrer DE SANTA TERESA, 27. 07100 SÓLLER, Mallorca;;Sóller;475931.48479999974;Alberg;Allotjaments;;SÓLLER;0;14/06/2023;Hostel Sóller - Ca ses Madrines;4401870.867000001;60;Excepció article 5.5 llei 8/2012, Albergs;Hostal Sóller SL (B57948200);ABT/1;Alta;2.718989542901724;39.76642419243253
;9;Carrer RECTOR ESCARRER, 4. 07230 MONTUÏRI, Mallorca;;Montuïri;498470.68500000006;Alberg;Allotjaments;;MONTUÏRI;482;01/10/2024;EMBAT;4379837.114999999;38;Excepció article 5.5 llei 8/2012, Albergs;PORTALS I FINESTRES S.L. (B57017550);ABT/2;Alta;2.982195505882316;39.568231827959735
;19;Carrer Molí del Garrover, 5. 07010 PALMA, Mallorca;;Palma;;Alberg;Allotjaments;;PALMA;430;29/10/2024;RESIDENCIA MAYOL;;38;Excepció article 5.5 llei 8/2012, Albergs;RESIDENCIA ESTUDIANTES MAYOL SL (B57694143);ABT/3;Alta;;
;12;Carrer AMILCAR, 26. 07600 PALMA, Mallorca;;Palma;;Alberg;Allotjaments;;PALMA;527;18/03/2025;WE STREET HOSTEL;;98;Excepció article 5.5 llei 8/2012, Albergs;BEACH CLUB DIQUE DEL OESTE, SL (B57839797);ABT/4;Alta;;
;21;Carrer SINGLADURA, 2. 07610 Can Pastilla, PALMA, Mallorca;;Can Pastilla;;Alberg;Allotjaments;;PALMA;1640;20/03/2025;BOC BEACH;;147;Excepció article 5.5 llei 8/2012, Albergs;OLIVER MATEU PROMOCIONES Y PROYECTOS, SL (B07876865);ABT/5;Alta;;
;37;Carrer ARXIDUC LLUÍS SALVADOR, 46. 07004 PALMA, Mallorca;;Palma;;Alberg;Allotjaments;;PALMA;1510;20/03/2025;BOC PALMA;;150;Excepció article 5.5 llei 8/2012, Albergs;OLIVER MATEU PROMOCIONES Y PROYECTOS, SL (B07876865);ABT/6;Alta;;
;15;Carrer GERMANS SCHEMBRI, 1. 07014 PALMA, Mallorca;;Palma;;Alberg;Allotjaments;;PALMA;698;09/04/2025;WE HOSTEL PALMA;;76;Excepció article 5.5 llei 8/2012, Albergs;BEACH CLUB DIQUE DEL OESTE, SL (B57839797);ABT/7;Alta;;
;6;ES VERGER KM.2,5, S/N. 07190 ESPORLES, Mallorca;;Esporles;463196.156274;Agroturisme;Allotjaments;;ESPORLES;;30/06/1992;SON FERRA;4388008.79063;11;;RENTA MEDITERRANEA SL (B07911803);AG/1;Alta;2.571076234225061;39.641071502839985
;17;C-713 PALMA-ALCUDIA KM.45, S/N. 07400 ALCÚDIA, Mallorca;;Alcúdia;504229.32;Agroturisme;Allotjaments;;ALCÚDIA;;09/05/2001;SON SIURANA;4407189.07;41;;CAN VERDAL SL (B57953127);AG/100;Alta;3.0494137059305184;39.81467154150796
;8;Polígon 12, PARCELA 119 (FINCA CAN RAIÓ). 07140 SENCELLES, Mallorca;;Sencelles;491252.027815;Agroturisme;Allotjaments;;SENCELLES;;28/05/2001;CAN RAIÓ;4387853.68653;16;;SECTOR RURAL, SL (B57180739);AG/102;Alta;2.898049120030565;39.64042112234811
;6;AFORES. S/N. (7-PARCEL.LA 161), S/N. 07110 BUNYOLA, Mallorca;;Bunyola;473748.08;Agroturisme;Allotjaments;;BUNYOLA;;11/06/2001;SA MANIGA;4395039.76;12;;FINCA SA MANIGA SL (B07966278);AG/103;Alta;2.6937701570782906;39.704810814498515
;11;Polígon 8 Parcel·la 359. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;Sant Llorenç Del Cardassar;;Agroturisme;Allotjaments;;SANT LLORENÇ DES CARDASSAR;;29/06/2001;S´HORT DE SA BAGURA;;28;;SUMIVINS 2013, SL (B57825275);AG/104;Alta;;
;5;Camí DES PALMER, KM 2,3, APT. 157, S/N. 07630 CAMPOS, Mallorca;;Campos;500356.253308;Agroturisme;Allotjaments;;CAMPOS;183855;04/09/2001;SON LLADO;4358815.25526;20;;JOSE OLLERS ALCOVER;AG/106;Alta;3.0041363176381366;39.378813075060876
;5;Polígon 17 Parcel·la 236. 07620 LLUCMAJOR, Mallorca;;Llucmajor;;Agroturisme;Allotjaments;;LLUCMAJOR;;17/09/2001;SA PLETA PEROLA;;10;;AGROTURISME PEROLA 1996, SL (B19370808);AG/107;Alta;;
4 estrelles;15;Carretera DEIÀ - SÓLLER, ILLA 63, NÚMERO 238, S/N. 07100 SÓLLER, Mallorca;;Sóller;473020.78;Agroturisme;Allotjaments;;SÓLLER;;24/10/2001;CA´S XORC;4402563.18;30;;HOTEL CA´S XORC SL (B07916018);AG/108;Alta;2.684977817233504;39.77257469860693
;8;Carretera LLORET DE VISTA ALEGRE- MUNTUÏRI.KM 0,8. SA ROTA DE´N PALERM, S/N. 07518 LLORET DE VISTALEGRE, Mallorca;;Lloret De Vistalegre;497964.085247;Agroturisme;Allotjaments;;LLORET DE VISTALEGRE;297031;28/02/2002;SA ROTA DE´N PALERM;4385460.18039;22;;SA ROTA DEN PALERM SL (B07983208);AG/109;Alta;2.976280330036993;39.61889704079455
;11;Polígon 24-PARCELA,122. 07210 ALGAIDA, Mallorca;;Algaida;492741.97;Agroturisme;Allotjaments;;ALGAIDA;;15/03/2002;BINICOMPRAT;4379064.26;24;;MORGATUR SL (B07856446);AG/110;Alta;2.915509515831279;39.56123868559885
;15;Polígon 5, PARCEL.LES 8 - 10. 07349 Orient, BUNYOLA, Mallorca;;Orient;479384.08;Agroturisme;Allotjaments;;BUNYOLA;;17/04/2002;SON PALOU;4398307.21;30;;AGROTURISMO SON PALOU ORIENT SL (B57050510);AG/111;Alta;2.75941145966054;39.734405838139175
;15;TORRE DES COLOMS, POLIGON 10 PARC, 145. 07310 CAMPANET, Mallorca;;Campanet;495488.69;Agroturisme;Allotjaments;;CAMPANET;;02/05/2002;MONNABER VELL;4404587.32;30;;TORRE D´ES COLOMS SL (B07854243);AG/112;Alta;2.9473095305139276;39.7912280478261
;4;Polígon 15, PARCEL.LA 179. 07570 ARTÀ, Mallorca;;Artà;532939.55;Agroturisme;Allotjaments;;ARTÀ;;17/06/2002;CASES DE SON DUC;4391884.62;8;;PAPA PIZZA JANIN, CB (E57256513);AG/113;Alta;3.3840823053256557;39.67615079837701
;8;Carretera LLORET, KM 1´5, POLIG.9, PARCEL.LA 282, S/N. 07230 MONTUÏRI, Mallorca;;Montuïri;498548.53;Agroturisme;Allotjaments;;MONTUÏRI;21000;04/07/2002;ES RAFAL;4381887.12;18;;ANTONIO RIBAS MOLL;AG/114;Alta;2.983097302136481;39.58670345248345
;12;19-PARCEL.LA, 971. 07620 LLUCMAJOR, Mallorca;;Llucmajor;494796.02;Agroturisme;Allotjaments;;LLUCMAJOR;;04/07/2002;SON ESTRANY;4368590.14;24;;JOSE LUIS SANCHEZ TELLEZ;AG/115;Alta;2.9395025425924017;39.46687597955586
;10;VALLDEMOSSA A ANDRATX, KM 2,5, S/N. 07170 VALLDEMOSSA, Mallorca;;Valldemossa;465967.914209;Agroturisme;Allotjaments;;VALLDEMOSSA;;30/07/2002;SES CASES DE CAS GARRIGUER;4395524.19381;20;;VISTAMAR DE VALLDEMOSSA SL (B07537392);AG/116;Alta;2.6029909680381;39.708900766616644
