Unitats;Localitat;Grup;Municipi;Superfície;Inici d'activitat;Denominació comercial;Places;Signatura
10;Sóller;Alberg;SÓLLER;0;14/06/2023;Hostel Sóller - Ca ses Madrines;60;ABT/1
9;Montuïri;Alberg;MONTUÏRI;482;01/10/2024;EMBAT;38;ABT/2
19;Palma;Alberg;PALMA;430;29/10/2024;RESIDENCIA MAYOL;38;ABT/3
12;Palma;Alberg;PALMA;527;18/03/2025;WE STREET HOSTEL;98;ABT/4
21;Can Pastilla;Alberg;PALMA;1640;20/03/2025;BOC BEACH;147;ABT/5
37;Palma;Alberg;PALMA;1510;20/03/2025;BOC PALMA;150;ABT/6
15;Palma;Alberg;PALMA;698;09/04/2025;WE HOSTEL PALMA;76;ABT/7
6;Esporles;Agroturisme;ESPORLES;;30/06/1992;SON FERRA;11;AG/1
17;Alcúdia;Agroturisme;ALCÚDIA;;09/05/2001;SON SIURANA;41;AG/100
8;Sencelles;Agroturisme;SENCELLES;;28/05/2001;CAN RAIÓ;16;AG/102
6;Bunyola;Agroturisme;BUNYOLA;;11/06/2001;SA MANIGA;12;AG/103
11;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;29/06/2001;S´HORT DE SA BAGURA;28;AG/104
5;Campos;Agroturisme;CAMPOS;183855;04/09/2001;SON LLADO;20;AG/106
5;Llucmajor;Agroturisme;LLUCMAJOR;;17/09/2001;SA PLETA PEROLA;10;AG/107
15;Sóller;Agroturisme;SÓLLER;;24/10/2001;CA´S XORC;30;AG/108
8;Lloret De Vistalegre;Agroturisme;LLORET DE VISTALEGRE;297031;28/02/2002;SA ROTA DE´N PALERM;22;AG/109
11;Algaida;Agroturisme;ALGAIDA;;15/03/2002;BINICOMPRAT;24;AG/110
15;Orient;Agroturisme;BUNYOLA;;17/04/2002;SON PALOU;30;AG/111
15;Campanet;Agroturisme;CAMPANET;;02/05/2002;MONNABER VELL;30;AG/112
4;Artà;Agroturisme;ARTÀ;;17/06/2002;CASES DE SON DUC;8;AG/113
8;Montuïri;Agroturisme;MONTUÏRI;21000;04/07/2002;ES RAFAL;18;AG/114
12;Llucmajor;Agroturisme;LLUCMAJOR;;04/07/2002;SON ESTRANY;24;AG/115
10;Valldemossa;Agroturisme;VALLDEMOSSA;;30/07/2002;SES CASES DE CAS GARRIGUER;20;AG/116
7;Sineu;Agroturisme;SINEU;;01/07/2002;SA CASA ROTJA;24;AG/117
6;Sóller;Agroturisme;SÓLLER;;03/09/2002;CAN POMA;12;AG/118
12;Santa Margalida;Agroturisme;SANTA MARGALIDA;;13/11/2002;SANTA EULALIA;24;AG/119
10;Fornalutx;Agroturisme;FORNALUTX;;27/05/1993;BALITX D´AVALL CAN GORDO;19;AG/12
7;Felanitx;Agroturisme;FELANITX;;25/11/2002;CAN BOTA;14;AG/120
9;Santanyí;Agroturisme;SANTANYÍ;;25/02/2003;SON MARIMON;18;AG/121
12;Valldemossa;Agroturisme;VALLDEMOSSA;;24/04/2003;VALLDEMOSSA;24;AG/122
6;Puigpunyent;Agroturisme;PUIGPUNYENT;;05/05/2003;SON BURGUET;12;AG/123
9;Vilafranca De Bonany;Agroturisme;VILAFRANCA DE BONANY;;06/05/2003;SA FRANQUESA VELLA;20;AG/124
10;Caimari;Agroturisme;SELVA;;09/05/2003;CAN BENEÏT;20;AG/125
7;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;;15/05/2003;ES TORRENT FALS;14;AG/126
12;Bunyola;Agroturisme;BUNYOLA;;21/05/2003;S´ALQUERIA BLANCA;24;AG/127
35;Llucmajor;Agroturisme;LLUCMAJOR;;10/06/2003;SON SAMPOLI;84;AG/128
11;Campos;Agroturisme;CAMPOS;649428;14/07/2003;SES ARENES;27;AG/129
12;Campos;Agroturisme;CAMPOS;;14/07/2003;SES ROTES VELLES;24;AG/130
7;Sóller;Agroturisme;SÓLLER;;12/09/2003;CA´S CURIAL;14;AG/131
7;Horta (L´);Agroturisme;FELANITX;21000;04/11/2003;CAN BESSOL;18;AG/132
11;Búger;Agroturisme;BÚGER;;10/02/2004;SON PONS;22;AG/133
5;Calvià;Agroturisme;CALVIÀ;;22/03/2004;SON TRIAS;10;AG/134
7;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;16/06/2004;SES BITL·LES;14;AG/135
22;Selva;Agroturisme;SELVA;0;23/09/2004;BINIBONA PARC NATURAL;49;AG/136
6;Son Macià;Agroturisme;MANACOR;;28/10/2004;SA VALL DE SON MACIA;14;AG/137
11;Pollença;Agroturisme;POLLENÇA;;12/11/2004;LLENAIRE;22;AG/138
8;Esporles;Agroturisme;ESPORLES;;26/11/2004;RONDAIA;15;AG/139
20;Capdepera;Agroturisme;CAPDEPERA;;26/11/2004;CASES DE SON BARBASSA;40;AG/140
9;Porreres;Agroturisme;PORRERES;;26/11/2004;CAN FELIU;17;AG/141
4;Campos;Agroturisme;CAMPOS;;14/12/2004;SON SALA;8;AG/142
8;Felanitx;Agroturisme;FELANITX;;04/01/2005;CAN RITO;16;AG/143
9;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;30/03/2005;SES CASES NOVES;20;AG/144
9;Artà;Agroturisme;ARTÀ;;30/03/2005;SON CARDAIX;18;AG/145
5;Manacor;Agroturisme;MANACOR;;25/04/2005;SES CASES D´ES RAFALET;10;AG/146
7;Santa Margalida;Agroturisme;SANTA MARGALIDA;;08/07/2005;SA BOLEDA;14;AG/147
5;Artà;Agroturisme;ARTÀ;;30/11/2005;NA SET CENTES;10;AG/148
12;Cabaneta (La);Agroturisme;MARRATXÍ;;31/01/2006;S´HORT DE SON CAULELLES;24;AG/149
5;Sóller;Agroturisme;SÓLLER;;02/09/1993;CA´N COLL;9;AG/15
8;Esgleieta (L´);Agroturisme;ESPORLES;;17/03/2006;CA NA SUSI;15;AG/158
10;Bunyola;Agroturisme;BUNYOLA;;20/04/2006;ALFABIA;24;AG/159
14;Campos;Agroturisme;CAMPOS;;02/09/1993;ES PALMER;28;AG/16
11;Portopetro;Agroturisme;SANTANYÍ;;20/04/2006;NA MARTINA;22;AG/160
9;Valldemossa;Agroturisme;VALLDEMOSSA;;01/06/2006;MIRABÓ DE VALLDEMOSSA;18;AG/161
3;Llucmajor;Agroturisme;LLUCMAJOR;;04/07/2006;S´ALBENYETA;6;AG/162
4;Estellencs;Agroturisme;ESTELLENCS;;01/09/2006;SANTUARI DE S´OLIVAR;10;AG/163
8;Pollença;Agroturisme;POLLENÇA;;13/11/2006;ALMOND VALLEY;16;AG/164
14;Campos;Agroturisme;CAMPOS;21000;15/11/2006;SON BARCELO MAS;27;AG/165
7;Artà;Agroturisme;ARTÀ;;27/11/2006;SON NOT;14;AG/166
5;Maria De La Salut;Agroturisme;MARIA DE LA SALUT;;27/11/2006;ROQUETA;12;AG/167
2;Artà;Agroturisme;ARTÀ;;21/03/2007;SON CAMINALS;4;AG/168
6;Pollença;Agroturisme;POLLENÇA;;12/03/2007;VARITX PARADÍS;12;AG/169
6;Manacor;Agroturisme;MANACOR;;24/05/2007;ES PLA DE LLODRA;12;AG/170
6;Felanitx;Agroturisme;FELANITX;;18/06/2007;CAN TORT;12;AG/172
8;Selva;Agroturisme;SELVA;;07/12/2007;S´HORT DE CAS MISSÉ;16;AG/174
9;Selva;Agroturisme;SELVA;;07/12/2007;SON OLIVE;18;AG/175
1;Maria De La Salut;Agroturisme;MARIA DE LA SALUT;;14/01/2008;DEULOSAL;4;AG/176
12;Porreres;Agroturisme;PORRERES;;02/04/2008;SON ROIG;24;AG/177
11;Esporles;Agroturisme;ESPORLES;;09/04/2008;CAN TORNA;22;AG/178
6;Petra;Agroturisme;PETRA;;12/05/2008;SON TORRAT;12;AG/179
6;Llucmajor;Agroturisme;LLUCMAJOR;;14/10/1993;SON SAMA;14;AG/18
5;Lloseta;Agroturisme;LLOSETA;;28/08/2008;FILICUMIS;17;AG/180
8;Santa Margalida;Agroturisme;SANTA MARGALIDA;;03/12/2008;MANSION SA CAPELLA;22;AG/181
20;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;03/12/2008;AGROTURISME SON PENYA;40;AG/182
10;Son Servera;Agroturisme;SON SERVERA;;18/02/2009;EL ENCINAR;20;AG/183
10;Campos;Agroturisme;CAMPOS;;29/04/2009;AMAPOLA;20;AG/184
25;Montuïri;Agroturisme;MONTUÏRI;0;29/04/2009;FINCA SERENA MALLORCA;50;AG/185
9;Felanitx;Agroturisme;FELANITX;;29/04/2009;SON CAPELLOT;17;AG/186
10;Esporles;Agroturisme;ESPORLES;;19/06/2009;S´HORT DE CANET;28;AG/187
8;Cala D´Or;Agroturisme;SANTANYÍ;;06/07/2009;SA TANCA D´ES GARBELLO;16;AG/188
20;Esporles;Agroturisme;ESPORLES;;21/10/2009;SON GALCERAN;39;AG/189
7;Felanitx;Agroturisme;FELANITX;;18/10/1993;SON VENT;16;AG/19
11;Artà;Agroturisme;ARTÀ;;04/12/2009;SA DUAIA D´ABAIX;22;AG/190
2;Alaró;Agroturisme;ALARÓ;;01/02/2010;SON BERGA;4;AG/193
5;Llucmajor;Agroturisme;LLUCMAJOR;;03/03/2010;SON PIERAS;10;AG/195
13;Campos;Agroturisme;CAMPOS;;24/02/2010;ES REVELLAR;26;AG/196
14;Binissalem;Agroturisme;BINISSALEM;;03/03/2010;ES QUATRE CANTONS;28;AG/198
6;Alcúdia;Agroturisme;ALCÚDIA;;30/06/1992;CAN FAVETA;12;AG/2
3;Manacor;Agroturisme;MANACOR;;04/02/1994;SON VERD;12;AG/20
3;Manacor;Agroturisme;MANACOR;;03/03/2010;SA COVA;10;AG/202
8;Llucmajor;Agroturisme;LLUCMAJOR;;03/03/2010;SON GUARDIOLA;16;AG/204
6;Manacor;Agroturisme;MANACOR;;11/03/2010;SOS FERRES DEN MOREY;12;AG/205
10;Son Servera;Agroturisme;SON SERVERA;;19/03/2010;SES CASES DE FETGET;18;AG/206
8;Bunyola;Agroturisme;BUNYOLA;;19/11/2010;BINIFORANI NOU;16;AG/207
12;Felanitx;Agroturisme;FELANITX;;04/02/2011;SON VALLS;24;AG/209
7;Petra;Agroturisme;PETRA;;07/12/2010;SON BURGUÉS;24;AG/210
8;Alcúdia;Agroturisme;ALCÚDIA;;17/01/2011;SON SIMO VELL;16;AG/211
12;Campos;Agroturisme;CAMPOS;;09/05/2011;FINCA SA CANOVA;32;AG/212
10;Felanitx;Agroturisme;FELANITX;;19/10/2011;SA PLETASSA;20;AG/213
13;Son Macià;Agroturisme;MANACOR;;12/03/2012;SON MOLA VELL;26;AG/214
12;Calvià;Agroturisme;CALVIÀ;;15/02/2012;CAN ESTADES;25;AG/215
14;Sóller;Agroturisme;SÓLLER;;14/12/2012;AGROTURISMO CORAZÓN;30;AG/217
56;Llucmajor;Agroturisme;LLUCMAJOR;;16/11/2012;SA BASSA PLANA;112;AG/218
4;Caimari;Agroturisme;SELVA;;27/12/2012;SA ROTA DE CAN CASETES;8;AG/219
6;Colònia De Sant Jordi;Agroturisme;SES SALINES;;22/02/1994;S´HORT D´ES TURO;12;AG/22
8;Esporles;Agroturisme;ESPORLES;;27/12/2012;SON TUGORES;16;AG/220
8;Alqueria Blanca;Agroturisme;SANTANYÍ;0;27/12/2012;ES PUJOL AGROTURISME;26;AG/221
4;Campos;Agroturisme;CAMPOS;;19/03/2014;CAN CARRO;11;AG/223
8;Campos;Agroturisme;CAMPOS;;14/12/2012;ALQUERIA S´ERMITA;16;AG/224
9;Sóller;Agroturisme;SÓLLER;;24/12/2012;SON SALAS;18;AG/225
7;Salines (Les);Agroturisme;SES SALINES;;17/01/2013;S´HORT DE CAN CARRIO;14;AG/226
5;Porreres;Agroturisme;PORRERES;;07/03/2013;FINCA SON JORBO;11;AG/227
19;Campanet;Agroturisme;CAMPANET;;04/03/2016;S´HORT DE MONNABER;42;AG/229
8;Manacor;Agroturisme;MANACOR;;19/03/2013;CAN PATRO;16;AG/230
4;Sóller;Agroturisme;SÓLLER;;31/05/2013;SON MICO;8;AG/231
20;Campos;Agroturisme;CAMPOS;;31/05/2013;SA BARRALA NOVA;10;AG/232
12;Palma;Agroturisme;PALMA;;04/07/2013;FINCA SON BAUZANET;6;AG/233
2;Inca;Agroturisme;INCA;;02/08/2013;ES MITJA FONDO;4;AG/235
2;Capdellà (El);Agroturisme;CALVIÀ;;06/08/2013;SON HORTOLÀ;4;AG/236
3;Campos;Agroturisme;CAMPOS;;07/08/2013;SON CALCO;6;AG/237
5;Llucmajor;Agroturisme;LLUCMAJOR;;30/08/2013;CAN PAULINO;12;AG/238
13;Moscari;Agroturisme;SELVA;23829;13/08/2013;SON AMETLER;26;AG/239
6;Port De Pollença;Agroturisme;POLLENÇA;;01/03/1994;SES CASES VELLES DE FORMENTOR;12;AG/24
11;Inca;Agroturisme;INCA;;22/08/2016;AGROTURISME SES ILLES;22;AG/241
5;Valldemossa;Agroturisme;VALLDEMOSSA;;30/09/2013;SON VISCOS;10;AG/243
5;Puigpunyent;Agroturisme;PUIGPUNYENT;;15/04/2014;CASA RURAL SA CAMPANETA;10;AG/245
8;Portocristo;Agroturisme;MANACOR;;29/01/2014;SA GRUTA VELLA;16;AG/246
12;Sencelles;Agroturisme;SENCELLES;;29/01/2014;CAN GRAU;34;AG/247
5;Costitx;Agroturisme;COSTITX;;23/04/2014;CAN PINA;17;AG/248
3;Maria De La Salut;Agroturisme;MARIA DE LA SALUT;;27/01/2014;SON NIELL;6;AG/249
11;Son Sardina;Agroturisme;PALMA;;18/02/2014;LOS NARANJOS;22;AG/251
5;Inca;Agroturisme;INCA;;03/04/2014;BINISSATI VELL;8;AG/252
10;Ariany;Agroturisme;ARIANY;;26/03/2014;CAN CAPITA;22;AG/253
8;Campos;Agroturisme;CAMPOS;;26/05/2014;FINCA CAN COREM;27;AG/254
12;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;2537000;12/05/2014;FINCA ES CABÀS;26;AG/255
7;Port De Pollença;Agroturisme;POLLENÇA;45301;04/12/2014;L´ULLAL;36;AG/256
5;Manacor;Agroturisme;MANACOR;;22/12/2014;SON FORTEZA;10;AG/257
2;Llucmajor;Agroturisme;LLUCMAJOR;;20/01/2015;SON BIELÓ;4;AG/259
7;Manacor;Agroturisme;MANACOR;;22/12/2014;SON TIRANO NOU;22;AG/260
14;Sóller;Agroturisme;SÓLLER;;02/02/2015;SON GREC PETIT RESORT;28;AG/261
4;Palma;Agroturisme;PALMA;;17/02/2015;FINCA SON MIR;9;AG/262
5;Montuïri;Agroturisme;MONTUÏRI;;26/02/2015;SON COLLELL;12;AG/263
3;Cas Concos Del Cavaller;Agroturisme;FELANITX;;30/03/2015;ES ROSSELLS;6;AG/265
3;Biniali;Agroturisme;SENCELLES;;30/03/2015;MOREYO VEY;12;AG/267
11;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;23634;15/04/2015;CAS CABO NOU;22;AG/269
2;Bunyola;Agroturisme;BUNYOLA;;19/04/1994;SIERRA DE ALFABIA;6;AG/27
10;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;235264;15/04/2015;S´ARBOÇAR;29;AG/270
15;Inca;Agroturisme;INCA;;15/04/2015;SA VINYA DES CONVENT;30;AG/271
16;Felanitx;Agroturisme;FELANITX;;11/05/2015;SA NAU;48;AG/272
1;Cala Tuent;Agroturisme;ESCORCA;;13/10/2015;BINI GRAN;2;AG/273
1;Campos;Agroturisme;CAMPOS;;20/05/2015;SON PESCA VELL;2;AG/275
2;Campos;Agroturisme;CAMPOS;;28/08/2015;SA CASETA DE SES VAQUES SON COVAS;8;AG/276
5;Esporles;Agroturisme;ESPORLES;;27/08/2015;SES ROTES;3;AG/277
4;Campos;Agroturisme;CAMPOS;;28/09/2015;SA CANOVETA;12;AG/279
7;Bunyola;Agroturisme;BUNYOLA;;25/05/1994;HONOR VELL;12;AG/28
5;Sencelles;Agroturisme;SENCELLES;;13/10/2015;FINCA SON MIRANDA;14;AG/281
6;Son Ferriol;Agroturisme;PALMA;37138;23/10/2015;FINCA SON AMORA;12;AG/282
14;Son Serra De Marina;Agroturisme;SANTA MARGALIDA;0;23/10/2015;CAN PERE REI;49;AG/283
5;Orient;Agroturisme;BUNYOLA;;23/10/2013;FINCA COMASEMA;10;AG/284
3;Felanitx;Agroturisme;FELANITX;;22/08/2016;SON RAMONET PETIT;8;AG/285
3;Campos;Agroturisme;CAMPOS;;09/12/2015;SA BARRALA;10;AG/286
10;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;;09/12/2015;ANTONIAS FINCA AGROTURISMO;20;AG/287
10;Sóller;Agroturisme;SÓLLER;;12/02/2016;CA´N QUATRE;20;AG/288
6;Manacor;Agroturisme;MANACOR;0;12/02/2016;ES RAFAL NOU;12;AG/289
4;Sencelles;Agroturisme;SENCELLES;;12/02/2016;SON BRUSQUE;8;AG/290
6;Llucmajor;Agroturisme;LLUCMAJOR;;29/09/2017;SA COVA D´EN BORINO;20;AG/291
3;Porreres;Agroturisme;PORRERES;;12/02/2016;ES MORELLS;10;AG/293
4;Llucmajor;Agroturisme;LLUCMAJOR;;12/07/2017;SA BASSA CRUA;12;AG/295
16;Artà;Agroturisme;ARTÀ;;07/03/2016;FINCA SA DUAIA DE DALT;43;AG/296
6;Campos;Agroturisme;CAMPOS;;07/03/2016;NURA CLAUDIA;17;AG/297
3;Felanitx;Agroturisme;FELANITX;;30/06/1992;SON MAYOL;8;AG/3
7;Alaró;Agroturisme;ALARÓ;;03/06/1994;SON PENYAFLOR;12;AG/30
3;Esporles;Agroturisme;ESPORLES;;16/03/2016;FINCA LOS PODADORES;5;AG/300
5;Porreres;Agroturisme;PORRERES;;30/12/2016;SON BARBUT XVII;10;AG/301
12;Felanitx;Agroturisme;FELANITX;;16/03/2016;CA´N GAIÀ;29;AG/302
4;Felanitx;Agroturisme;FELANITX;;16/03/2016;BON VENT;8;AG/303
33;Llucmajor;Agroturisme;LLUCMAJOR;76561;22/08/2016;SON JULIA COUNTRY HOUSE & SPA;66;AG/306
11;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;22/08/2016;ES LLIGATS;35;AG/307
5;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;0;22/08/2016;COANEGRA;14;AG/308
5;Manacor;Agroturisme;MANACOR;655896;09/08/2016;SON CRESPI VELL;12;AG/311
6;Lloret De Vistalegre;Agroturisme;LLORET DE VISTALEGRE;;09/08/2016;CAN PORRETI AGROTURISME;14;AG/312
2;Santa Margalida;Agroturisme;SANTA MARGALIDA;;29/09/2016;SARAIX;8;AG/313
10;Campanet;Agroturisme;CAMPANET;;15/11/2016;LA SERRANIA;20;AG/314
8;Campos;Agroturisme;CAMPOS;;15/11/2016;S´ANGEL;16;AG/315
4;Pollença;Agroturisme;POLLENÇA;;15/11/2016;TERNELLES;10;AG/317
12;Felanitx;Agroturisme;FELANITX;;07/12/2016;AGROTURISME SON MENUT;24;AG/318
7;Campos;Agroturisme;CAMPOS;37634;07/12/2016;SON ROSSINYOL NOU;22;AG/319
5;Alqueria Blanca;Agroturisme;SANTANYÍ;;26/01/2017;SA MARINA;14;AG/320
4;Sant Joan;Agroturisme;SANT JOAN;;11/11/2017;SES ALGORFES;8;AG/321
11;Felanitx;Agroturisme;FELANITX;;26/01/2017;SON POU;22;AG/322
7;Campos;Agroturisme;CAMPOS;;26/01/2017;EL GALLICANT;18;AG/323
1;Santa Maria Del Camí;Agroturisme;SANTA MARIA DEL CAMÍ;;21/07/2017;COANEGRA;2;AG/326
12;Maria De La Salut;Agroturisme;MARIA DE LA SALUT;0;21/07/2017;ES RACÓ DE MARIA;24;AG/327
5;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;;12/05/2017;CAS PADRI GUILLEM;19;AG/328
6;Manacor;Agroturisme;MANACOR;0;14/07/2017;SON MESQUIDA;20;AG/329
6;Inca;Agroturisme;INCA;;20/07/1994;SON VIVOT;16;AG/33
4;Porreres;Agroturisme;PORRERES;;21/07/2017;SA VAQUERIA;8;AG/330
4;Escorca;Agroturisme;ESCORCA;;29/09/2017;SON ALZINES;8;AG/332
10;Llucmajor;Agroturisme;LLUCMAJOR;;29/09/2017;S´ATALAIA;26;AG/333
11;Llucmajor;Agroturisme;LLUCMAJOR;;29/09/2017;FINCA GOMERA;22;AG/334
8;Petra;Agroturisme;PETRA;;02/10/2017;EL PUEBLO;24;AG/335
30;Capdepera;Agroturisme;CAPDEPERA;;29/09/2017;PLETA DE MAR;60;AG/337
4;Petra;Agroturisme;PETRA;;04/10/2017;SON CALÓ;10;AG/338
10;Sant Llorenç Del Cardassar;Agroturisme;SANT LLORENÇ DES CARDASSAR;0;02/10/2017;CA NA NINA;22;AG/339
6;Manacor;Agroturisme;MANACOR;;27/07/1994;S´AIGO;12;AG/34
7;Alaró;Agroturisme;ALARÓ;;16/08/2017;FINCA CAN SEC;13;AG/340
13;Llucmajor;Agroturisme;LLUCMAJOR;;02/10/2017;ES LLOBETS;26;AG/341
