Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Spain,Spain,ES,94.29,128.29,79.92,43.82,entsoe.eu,false,
2024-01-01 00:15:00,Spain,Spain,ES,93.92,128.26,79.76,43.72,entsoe.eu,false,
2024-01-01 00:30:00,Spain,Spain,ES,93.67,128.22,79.64,43.53,entsoe.eu,false,
2024-01-01 00:45:00,Spain,Spain,ES,92.67,126.89,79.97,43.48,entsoe.eu,false,
2024-01-01 01:00:00,Spain,Spain,ES,90.67,124.66,80.4,43.11,entsoe.eu,false,
2024-01-01 01:15:00,Spain,Spain,ES,94.47,129.61,79.44,42.56,entsoe.eu,false,
2024-01-01 01:30:00,Spain,Spain,ES,94.69,130.87,78.97,42.0,entsoe.eu,false,
2024-01-01 01:45:00,Spain,Spain,ES,94.8,131.13,78.92,41.65,entsoe.eu,false,
2024-01-01 02:00:00,Spain,Spain,ES,97.22,133.97,78.44,40.34,entsoe.eu,false,
2024-01-01 02:15:00,Spain,Spain,ES,99.63,136.93,77.87,39.85,entsoe.eu,false,
2024-01-01 02:30:00,Spain,Spain,ES,99.41,136.9,77.85,39.52,entsoe.eu,false,
2024-01-01 02:45:00,Spain,Spain,ES,99.45,136.6,78.06,39.49,entsoe.eu,false,
2024-01-01 03:00:00,Spain,Spain,ES,98.19,134.99,78.4,39.09,entsoe.eu,false,
2024-01-01 03:15:00,Spain,Spain,ES,100.07,137.16,78.03,39.26,entsoe.eu,false,
2024-01-01 03:30:00,Spain,Spain,ES,99.29,136.54,78.02,39.43,entsoe.eu,false,
2024-01-01 03:45:00,Spain,Spain,ES,99.85,137.31,77.83,39.19,entsoe.eu,false,
2024-01-01 04:00:00,Spain,Spain,ES,102.19,140.13,77.33,38.3,entsoe.eu,false,
2024-01-01 04:15:00,Spain,Spain,ES,102.05,140.27,77.18,38.11,entsoe.eu,false,
2024-01-01 04:30:00,Spain,Spain,ES,103.38,141.97,76.86,38.0,entsoe.eu,false,
2024-01-01 04:45:00,Spain,Spain,ES,102.73,141.14,77.02,37.99,entsoe.eu,false,
2024-01-01 05:00:00,Spain,Spain,ES,102.64,141.01,77.06,38.03,entsoe.eu,false,
2024-01-01 05:15:00,Spain,Spain,ES,102.23,140.41,77.21,38.05,entsoe.eu,false,
2024-01-01 05:30:00,Spain,Spain,ES,105.58,144.06,76.69,37.86,entsoe.eu,false,
2024-01-01 05:45:00,Spain,Spain,ES,102.41,140.41,77.31,38.35,entsoe.eu,false,
2024-01-01 06:00:00,Spain,Spain,ES,99.07,136.49,77.92,39.27,entsoe.eu,false,
2024-01-01 06:15:00,Spain,Spain,ES,98.54,135.82,78.02,39.4,entsoe.eu,false,
2024-01-01 06:30:00,Spain,Spain,ES,100.19,137.74,77.71,39.77,entsoe.eu,false,
2024-01-01 06:45:00,Spain,Spain,ES,98.76,135.73,78.17,40.13,entsoe.eu,false,
2024-01-01 07:00:00,Spain,Spain,ES,98.45,135.55,78.1,40.34,entsoe.eu,false,
2024-01-01 07:15:00,Spain,Spain,ES,98.5,135.27,78.25,40.44,entsoe.eu,false,
2024-01-01 07:30:00,Spain,Spain,ES,96.47,132.93,78.66,41.08,entsoe.eu,false,
2024-01-01 07:45:00,Spain,Spain,ES,95.18,131.47,78.89,41.14,entsoe.eu,false,
2024-01-01 08:00:00,Spain,Spain,ES,96.34,133.16,78.47,41.36,entsoe.eu,false,
2024-01-01 08:15:00,Spain,Spain,ES,97.45,134.73,78.13,41.75,entsoe.eu,false,
2024-01-01 08:30:00,Spain,Spain,ES,98.47,136.32,77.83,42.23,entsoe.eu,false,
2024-01-01 08:45:00,Spain,Spain,ES,96.17,133.82,78.38,43.81,entsoe.eu,false,
2024-01-01 09:00:00,Spain,Spain,ES,89.29,125.54,80.08,45.63,entsoe.eu,false,
2024-01-01 09:15:00,Spain,Spain,ES,78.44,112.12,82.75,48.01,entsoe.eu,false,
2024-01-01 09:30:00,Spain,Spain,ES,74.02,106.85,83.78,49.97,entsoe.eu,false,
2024-01-01 09:45:00,Spain,Spain,ES,68.87,101.0,84.99,52.5,entsoe.eu,false,
2024-01-01 10:00:00,Spain,Spain,ES,63.89,95.16,86.22,54.1,entsoe.eu,false,
2024-01-01 10:15:00,Spain,Spain,ES,62.03,93.11,86.63,55.78,entsoe.eu,false,
2024-01-01 10:30:00,Spain,Spain,ES,60.64,91.7,86.94,57.57,entsoe.eu,false,
2024-01-01 10:45:00,Spain,Spain,ES,57.55,88.09,87.69,58.6,entsoe.eu,false,
2024-01-01 11:00:00,Spain,Spain,ES,56.85,87.18,87.85,58.66,entsoe.eu,false,
2024-01-01 11:15:00,Spain,Spain,ES,55.84,86.18,88.04,60.59,entsoe.eu,false,
2024-01-01 11:30:00,Spain,Spain,ES,52.72,82.43,88.81,61.75,entsoe.eu,false,
2024-01-01 11:45:00,Spain,Spain,ES,49.92,79.12,89.48,62.71,entsoe.eu,false,
2024-01-01 12:00:00,Spain,Spain,ES,48.66,77.52,89.73,62.87,entsoe.eu,false,
2024-01-01 12:15:00,Spain,Spain,ES,48.85,77.9,89.68,63.06,entsoe.eu,false,
2024-01-01 12:30:00,Spain,Spain,ES,50.96,80.61,89.14,62.07,entsoe.eu,false,
2024-01-01 12:45:00,Spain,Spain,ES,52.29,82.34,88.8,62.42,entsoe.eu,false,
2024-01-01 13:00:00,Spain,Spain,ES,52.0,82.06,88.86,63.13,entsoe.eu,false,
2024-01-01 13:15:00,Spain,Spain,ES,53.35,83.78,88.51,64.3,entsoe.eu,false,
2024-01-01 13:30:00,Spain,Spain,ES,51.92,81.91,88.87,65.0,entsoe.eu,false,
2024-01-01 13:45:00,Spain,Spain,ES,52.08,82.32,88.85,65.71,entsoe.eu,false,
2024-01-01 14:00:00,Spain,Spain,ES,51.71,81.91,88.95,65.74,entsoe.eu,false,
2024-01-01 14:15:00,Spain,Spain,ES,51.57,81.77,88.93,66.46,entsoe.eu,false,
2024-01-01 14:30:00,Spain,Spain,ES,51.58,81.87,88.88,66.63,entsoe.eu,false,
2024-01-01 14:45:00,Spain,Spain,ES,52.15,82.57,88.75,66.07,entsoe.eu,false,
2024-01-01 15:00:00,Spain,Spain,ES,53.34,83.79,88.49,65.33,entsoe.eu,false,
2024-01-01 15:15:00,Spain,Spain,ES,52.59,82.59,88.78,64.32,entsoe.eu,false,
2024-01-01 15:30:00,Spain,Spain,ES,52.2,81.44,88.91,62.47,entsoe.eu,false,
2024-01-01 15:45:00,Spain,Spain,ES,57.64,87.87,87.53,60.93,entsoe.eu,false,
2024-01-01 16:00:00,Spain,Spain,ES,65.97,97.73,85.48,57.71,entsoe.eu,false,
2024-01-01 16:15:00,Spain,Spain,ES,70.03,101.94,84.55,52.77,entsoe.eu,false,
2024-01-01 16:30:00,Spain,Spain,ES,74.14,106.39,83.58,50.71,entsoe.eu,false,
2024-01-01 16:45:00,Spain,Spain,ES,75.64,107.65,83.25,49.32,entsoe.eu,false,
2024-01-01 17:00:00,Spain,Spain,ES,79.47,110.51,82.86,49.49,entsoe.eu,false,
2024-01-01 17:15:00,Spain,Spain,ES,73.78,101.8,84.76,51.03,entsoe.eu,false,
2024-01-01 17:30:00,Spain,Spain,ES,72.54,98.0,85.78,53.03,entsoe.eu,false,
2024-01-01 17:45:00,Spain,Spain,ES,73.34,97.26,86.09,54.15,entsoe.eu,false,
2024-01-01 18:00:00,Spain,Spain,ES,74.61,98.66,85.83,54.32,entsoe.eu,false,
2024-01-01 18:15:00,Spain,Spain,ES,70.84,92.73,87.15,56.28,entsoe.eu,false,
2024-01-01 18:30:00,Spain,Spain,ES,66.69,86.99,88.33,57.98,entsoe.eu,false,
2024-01-01 18:45:00,Spain,Spain,ES,66.33,87.1,88.23,58.06,entsoe.eu,false,
2024-01-01 19:00:00,Spain,Spain,ES,68.02,89.19,87.81,58.02,entsoe.eu,false,
2024-01-01 19:15:00,Spain,Spain,ES,65.59,86.08,88.39,58.53,entsoe.eu,false,
2024-01-01 19:30:00,Spain,Spain,ES,65.84,86.1,88.43,58.55,entsoe.eu,false,
2024-01-01 19:45:00,Spain,Spain,ES,67.04,87.32,88.25,58.35,entsoe.eu,false,
2024-01-01 20:00:00,Spain,Spain,ES,68.51,88.92,87.96,58.17,entsoe.eu,false,
2024-01-01 20:15:00,Spain,Spain,ES,71.13,91.86,87.41,57.89,entsoe.eu,false,
2024-01-01 20:30:00,Spain,Spain,ES,70.5,91.15,87.55,57.92,entsoe.eu,false,
2024-01-01 20:45:00,Spain,Spain,ES,70.13,91.24,87.48,57.62,entsoe.eu,false,
2024-01-01 21:00:00,Spain,Spain,ES,67.54,88.19,88.07,57.6,entsoe.eu,false,
2024-01-01 21:15:00,Spain,Spain,ES,67.73,88.54,88.0,57.41,entsoe.eu,false,
2024-01-01 21:30:00,Spain,Spain,ES,66.97,88.24,87.99,56.63,entsoe.eu,false,
2024-01-01 21:45:00,Spain,Spain,ES,66.79,89.02,87.73,55.8,entsoe.eu,false,
2024-01-01 22:00:00,Spain,Spain,ES,65.73,88.89,87.64,55.08,entsoe.eu,false,
2024-01-01 22:15:00,Spain,Spain,ES,67.76,91.34,87.16,54.82,entsoe.eu,false,
2024-01-01 22:30:00,Spain,Spain,ES,70.72,96.92,85.88,53.07,entsoe.eu,false,
2024-01-01 22:45:00,Spain,Spain,ES,70.56,98.67,85.37,51.71,entsoe.eu,false,
2024-01-01 23:00:00,Spain,Spain,ES,71.21,100.86,84.85,50.93,entsoe.eu,false,
2024-01-01 23:15:00,Spain,Spain,ES,68.16,97.71,85.17,51.58,entsoe.eu,false,
2024-01-01 23:30:00,Spain,Spain,ES,69.28,99.06,84.95,51.71,entsoe.eu,false,
2024-01-01 23:45:00,Spain,Spain,ES,67.99,97.39,85.28,51.52,entsoe.eu,false,
2024-01-02 00:00:00,Spain,Spain,ES,68.13,97.65,85.21,51.46,entsoe.eu,false,
2024-01-02 00:15:00,Spain,Spain,ES,68.77,98.44,84.99,51.65,entsoe.eu,false,
2024-01-02 00:30:00,Spain,Spain,ES,72.71,103.04,84.26,51.36,entsoe.eu,false,
2024-01-02 00:45:00,Spain,Spain,ES,72.2,102.6,84.27,51.11,entsoe.eu,false,
2024-01-02 01:00:00,Spain,Spain,ES,71.95,102.59,84.19,51.02,entsoe.eu,false,
2024-01-02 01:15:00,Spain,Spain,ES,74.6,105.99,83.5,50.58,entsoe.eu,false,
2024-01-02 01:30:00,Spain,Spain,ES,73.95,105.24,83.68,50.51,entsoe.eu,false,
2024-01-02 01:45:00,Spain,Spain,ES,73.52,104.71,83.8,50.46,entsoe.eu,false,
2024-01-02 02:00:00,Spain,Spain,ES,73.12,104.25,83.89,50.61,entsoe.eu,false,
