Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Spain,Spain,ES,93.63,127.9,79.82,43.64,entsoe.eu,false,
2024-01-01 01:00:00,Spain,Spain,ES,93.64,129.05,79.44,42.33,entsoe.eu,false,
2024-01-01 02:00:00,Spain,Spain,ES,98.9,136.06,78.06,39.81,entsoe.eu,false,
2024-01-01 03:00:00,Spain,Spain,ES,99.32,136.46,78.08,39.25,entsoe.eu,false,
2024-01-01 04:00:00,Spain,Spain,ES,102.58,140.87,77.1,38.1,entsoe.eu,false,
2024-01-01 05:00:00,Spain,Spain,ES,103.2,141.46,77.07,38.08,entsoe.eu,false,
2024-01-01 06:00:00,Spain,Spain,ES,99.14,136.44,77.96,39.65,entsoe.eu,false,
2024-01-01 07:00:00,Spain,Spain,ES,97.15,133.81,78.47,40.75,entsoe.eu,false,
2024-01-01 08:00:00,Spain,Spain,ES,97.11,134.52,78.2,42.3,entsoe.eu,false,
2024-01-01 09:00:00,Spain,Spain,ES,77.47,111.16,82.94,49.09,entsoe.eu,false,
2024-01-01 10:00:00,Spain,Spain,ES,61.01,91.99,86.87,56.53,entsoe.eu,false,
2024-01-01 11:00:00,Spain,Spain,ES,53.79,83.68,88.55,60.96,entsoe.eu,false,
2024-01-01 12:00:00,Spain,Spain,ES,50.2,79.6,89.33,62.6,entsoe.eu,false,
2024-01-01 13:00:00,Spain,Spain,ES,52.34,82.53,88.77,64.53,entsoe.eu,false,
2024-01-01 14:00:00,Spain,Spain,ES,51.75,82.03,88.88,66.22,entsoe.eu,false,
2024-01-01 15:00:00,Spain,Spain,ES,53.96,83.94,88.42,63.26,entsoe.eu,false,
2024-01-01 16:00:00,Spain,Spain,ES,71.54,103.52,84.19,52.55,entsoe.eu,false,
2024-01-01 17:00:00,Spain,Spain,ES,74.76,101.83,84.89,51.95,entsoe.eu,false,
2024-01-01 18:00:00,Spain,Spain,ES,69.61,91.37,87.39,56.66,entsoe.eu,false,
2024-01-01 19:00:00,Spain,Spain,ES,66.62,87.17,88.22,58.36,entsoe.eu,false,
2024-01-01 20:00:00,Spain,Spain,ES,70.07,90.79,87.6,57.9,entsoe.eu,false,
2024-01-01 21:00:00,Spain,Spain,ES,67.26,88.49,87.95,56.87,entsoe.eu,false,
2024-01-01 22:00:00,Spain,Spain,ES,68.67,93.9,86.53,53.69,entsoe.eu,false,
2024-01-01 23:00:00,Spain,Spain,ES,69.19,98.79,85.06,51.42,entsoe.eu,false,
2024-01-02 00:00:00,Spain,Spain,ES,70.42,100.39,84.69,51.4,entsoe.eu,false,
2024-01-02 01:00:00,Spain,Spain,ES,73.5,104.63,83.79,50.65,entsoe.eu,false,
2024-01-02 02:00:00,Spain,Spain,ES,70.77,101.27,84.49,51.08,entsoe.eu,false,
2024-01-02 03:00:00,Spain,Spain,ES,70.61,101.02,84.55,50.49,entsoe.eu,false,
2024-01-02 04:00:00,Spain,Spain,ES,74.41,105.79,83.62,49.7,entsoe.eu,false,
2024-01-02 05:00:00,Spain,Spain,ES,73.07,103.95,84.0,50.79,entsoe.eu,false,
2024-01-02 06:00:00,Spain,Spain,ES,72.31,102.99,84.14,52.48,entsoe.eu,false,
2024-01-02 07:00:00,Spain,Spain,ES,66.71,94.56,86.01,56.13,entsoe.eu,false,
2024-01-02 08:00:00,Spain,Spain,ES,61.46,85.2,88.41,62.02,entsoe.eu,false,
2024-01-02 09:00:00,Spain,Spain,ES,47.96,71.87,90.93,66.92,entsoe.eu,false,
2024-01-02 10:00:00,Spain,Spain,ES,45.02,70.59,91.1,68.69,entsoe.eu,false,
2024-01-02 11:00:00,Spain,Spain,ES,45.94,72.57,90.61,68.39,entsoe.eu,false,
2024-01-02 12:00:00,Spain,Spain,ES,43.91,69.88,91.15,69.03,entsoe.eu,false,
2024-01-02 13:00:00,Spain,Spain,ES,44.08,70.15,90.98,69.51,entsoe.eu,false,
2024-01-02 14:00:00,Spain,Spain,ES,41.42,66.84,91.66,70.96,entsoe.eu,false,
2024-01-02 15:00:00,Spain,Spain,ES,44.55,69.82,90.94,68.06,entsoe.eu,false,
2024-01-02 16:00:00,Spain,Spain,ES,60.14,85.05,88.23,65.93,entsoe.eu,false,
2024-01-02 17:00:00,Spain,Spain,ES,66.17,90.46,87.18,65.35,entsoe.eu,false,
2024-01-02 18:00:00,Spain,Spain,ES,63.81,86.87,87.95,66.57,entsoe.eu,false,
