TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,EDAD_MADRE#ca,EDAD_MADRE#es,EDAD_MADRE_CODE,ORDEN_HIJO#ca,ORDEN_HIJO#es,ORDEN_HIJO_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Segon/a,Segundo/a,2,1018,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Segon/a,Segundo/a,2,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Segon/a,Segundo/a,2,1026,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Segon/a,Segundo/a,2,196,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Segon/a,Segundo/a,2,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Segon/a,Segundo/a,2,570,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Segon/a,Segundo/a,2,5,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Segon/a,Segundo/a,2,3139,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Segon/a,Segundo/a,2,294,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Segon/a,Segundo/a,2,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Segon/a,Segundo/a,2,30,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Novè/Novena,Noveno/a,9,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Novè/Novena,Noveno/a,9,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Novè/Novena,Noveno/a,9,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Quart/a,Cuarto/a,4,108,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Quart/a,Cuarto/a,4,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Quart/a,Cuarto/a,4,70,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Quart/a,Cuarto/a,4,3,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Quart/a,Cuarto/a,4,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Quart/a,Cuarto/a,4,34,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Quart/a,Cuarto/a,4,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Quart/a,Cuarto/a,4,251,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Quart/a,Cuarto/a,4,35,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Quart/a,Cuarto/a,4,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Quart/a,Cuarto/a,4,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Total,Total,_T,2460,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Total,Total,_T,3,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Total,Total,_T,2997,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Total,Total,_T,806,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Total,Total,_T,5,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Total,Total,_T,1749,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Total,Total,_T,158,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Total,Total,_T,9067,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Total,Total,_T,792,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Total,Total,_T,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Total,Total,_T,97,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Setè/Setena,Séptimo/a,7,3,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Setè/Setena,Séptimo/a,7,7,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Setè/Setena,Séptimo/a,7,3,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Setè/Setena,Séptimo/a,7,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Setè/Setena,Séptimo/a,7,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Tercer/a,Tercero/a,3,289,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Tercer/a,Tercero/a,3,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Tercer/a,Tercero/a,3,268,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Tercer/a,Tercero/a,3,23,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Tercer/a,Tercero/a,3,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Tercer/a,Tercero/a,3,144,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Tercer/a,Tercero/a,3,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Tercer/a,Tercero/a,3,853,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Tercer/a,Tercero/a,3,119,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Tercer/a,Tercero/a,3,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Tercer/a,Tercero/a,3,10,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Sisè/Sisena,Sexto/a,6,14,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Sisè/Sisena,Sexto/a,6,4,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Sisè/Sisena,Sexto/a,6,25,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Sisè/Sisena,Sexto/a,6,7,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
